GID1	GID2	EH23_Early_Flower	EH23_Foliage	EH23_Foliage_12light	EH23_Late_Flower	EH23_Roots	EH23_Shoottips
EH23a.chr2.v1.g091780.t1	EH23b.chr2.v1.g089960.t1	C	C	C	C	C	C
EH23a.chr2.v1.g091800.t1	EH23b.chr2.v1.g089930.t1	C	C	C	C	C	C
EH23a.chr2.v1.g091830.t1	EH23b.chr2.v1.g090110.t1	C	C	C	C	C	C
EH23a.chr2.v1.g091840.t1	EH23b.chr2.v1.g090120.t1	C	C	C	C	C	C
EH23a.chr2.v1.g091850.t1	EH23b.chr2.v1.g090130.t1	C	C	C	C	C	C
EH23a.chr2.v1.g091860.t1	EH23b.chr2.v1.g090140.t1	C	C	C	C	C	C
EH23a.chr2.v1.g091880.t1	EH23b.chr2.v1.g097780.t1	C	C	C	C	C	C
EH23a.chr2.v1.g091900.t1	EH23b.chr2.v1.g090150.t1	C	C	C	C	C	C
EH23a.chr2.v1.g091950.t1	EH23b.chr2.v1.g090220.t1	C	C	C	C	C	C
EH23a.chr2.v1.g091960.t1	EH23b.chr2.v1.g090230.t1	C	C	C	C	C	C
EH23a.chr2.v1.g091970.t1	EH23b.chr2.v1.g090240.t1	C	C	C	C	C	C
EH23a.chr2.v1.g092050.t1	EH23b.chr2.v1.g090290.t1	C	C	C	C	C	C
EH23a.chr2.v1.g092130.t1	EH23b.chr2.v1.g090340.t1	C	C	C	C	C	C
EH23a.chr2.v1.g092260.t1	EH23b.chr2.v1.g090370.t1	C	C	C	C	C	C
EH23a.chr2.v1.g092270.t1	EH23b.chr2.v1.g090380.t1	C	C	C	C	C	C
EH23a.chr2.v1.g092280.t1	EH23b.chr2.v1.g090390.t1	C	C	C	C	C	C
EH23a.chr2.v1.g092290.t1	EH23b.chr2.v1.g090420.t1	C	C	C	B	C	C
EH23a.chr2.v1.g092370.t1	EH23b.chr2.v1.g090460.t1	C	C	C	C	C	C
EH23a.chr2.v1.g092380.t1	EH23b.chr2.v1.g090490.t1	C	C	C	C	C	C
EH23a.chr2.v1.g092410.t1	EH23b.chr2.v1.g090500.t1	C	C	C	C	C	C
EH23a.chr2.v1.g092420.t1	EH23b.chr2.v1.g090510.t1	C	C	C	C	C	A
EH23a.chr2.v1.g092430.t1	EH23b.chr2.v1.g090520.t1	C	C	C	C	C	C
EH23a.chr2.v1.g092540.t1	EH23b.chr2.v1.g090590.t1	B	C	C	B	C	B
EH23a.chr2.v1.g092550.t1	EH23b.chr2.v1.g090600.t1	C	C	C	C	C	C
EH23a.chr2.v1.g092560.t1	EH23b.chr2.v1.g090610.t1	C	C	C	C	C	C
EH23a.chr2.v1.g092590.t1	EH23b.chr2.v1.g090620.t1	C	C	C	C	C	C
EH23a.chr2.v1.g092600.t1	EH23b.chr2.v1.g090640.t1	C	C	C	C	C	C
EH23a.chr2.v1.g092630.t1	EH23b.chr2.v1.g090650.t1	C	C	C	C	C	C
EH23a.chr2.v1.g092640.t1	EH23b.chr2.v1.g090660.t1	C	C	C	C	C	C
EH23a.chr2.v1.g092650.t1	EH23b.chr2.v1.g090690.t1	C	C	C	C	C	C
EH23a.chr2.v1.g092670.t1	EH23b.chr2.v1.g090710.t1	C	C	C	C	C	C
EH23a.chr2.v1.g092680.t1	EH23b.chr2.v1.g090720.t1	C	C	C	C	C	C
EH23a.chr2.v1.g092690.t1	EH23b.chr2.v1.g090730.t1	C	C	C	C	C	C
EH23a.chr2.v1.g092700.t1	EH23b.chr2.v1.g090740.t1	C	C	C	C	C	C
EH23a.chr2.v1.g092740.t1	EH23b.chr2.v1.g090900.t1	C	C	C	C	C	C
EH23a.chr2.v1.g092800.t1	EH23b.chr2.v1.g090920.t1	C	C	C	C	C	C
EH23a.chr2.v1.g092820.t1	EH23b.chr2.v1.g090990.t1	C	C	C	C	C	C
EH23a.chr2.v1.g092830.t1	EH23b.chr2.v1.g091030.t1	C	C	C	C	C	C
EH23a.chr2.v1.g092850.t1	EH23b.chr2.v1.g091040.t1	C	C	C	C	C	C
EH23a.chr2.v1.g092890.t1	EH23b.chr2.v1.g091080.t1	C	A	A	C	B	B
EH23a.chr2.v1.g092960.t1	EH23b.chr2.v1.g091090.t1	C	C	C	C	C	C
EH23a.chr2.v1.g093040.t1	EH23b.chr2.v1.g091140.t1	C	C	C	C	C	C
EH23a.chr2.v1.g093070.t1	EH23b.chr2.v1.g091160.t1	C	C	C	C	C	C
EH23a.chr2.v1.g093100.t1	EH23b.chr2.v1.g091230.t1	C	C	C	C	C	C
EH23a.chr2.v1.g093110.t1	EH23b.chr2.v1.g091260.t1	C	C	C	C	C	C
EH23a.chr2.v1.g093120.t1	EH23b.chr2.v1.g091270.t1	C	C	C	C	C	C
EH23a.chr2.v1.g093140.t1	EH23b.chr2.v1.g091300.t1	C	C	C	C	C	C
EH23a.chr2.v1.g093180.t1	EH23b.chr2.v1.g091320.t1	C	C	C	C	C	C
EH23a.chr2.v1.g093200.t1	EH23b.chr2.v1.g091340.t1	C	C	C	C	C	C
EH23a.chr2.v1.g093230.t1	EH23b.chr2.v1.g091360.t1	C	C	C	C	C	C
EH23a.chr2.v1.g093240.t1	EH23b.chr2.v1.g091370.t1	C	C	C	C	C	C
EH23a.chr2.v1.g093250.t1	EH23b.chr2.v1.g091380.t1	C	C	C	C	C	C
EH23a.chr2.v1.g093260.t1	EH23b.chr2.v1.g091390.t1	C	C	C	C	C	C
EH23a.chr2.v1.g093270.t1	EH23b.chr2.v1.g091400.t1	C	C	C	C	C	C
EH23a.chr2.v1.g093280.t1	EH23b.chr2.v1.g091410.t1	C	C	C	C	C	C
EH23a.chr2.v1.g093300.t1	EH23b.chr2.v1.g091460.t1	C	C	C	C	C	C
EH23a.chr2.v1.g093310.t1	EH23b.chr2.v1.g091470.t1	C	C	C	C	C	C
EH23a.chr2.v1.g093320.t1	EH23b.chr2.v1.g091510.t1	C	C	C	C	C	C
EH23a.chr2.v1.g093330.t1	EH23b.chr2.v1.g091520.t1	C	C	C	C	C	C
EH23a.chr2.v1.g093340.t1	EH23b.chr2.v1.g091540.t1	C	C	C	C	C	C
EH23a.chr2.v1.g093380.t1	EH23b.chr2.v1.g091550.t1	C	C	C	C	C	C
EH23a.chr2.v1.g093390.t1	EH23b.chr2.v1.g091560.t1	C	C	C	C	C	C
EH23a.chr2.v1.g093400.t1	EH23b.chr2.v1.g091570.t1	C	C	C	C	C	C
EH23a.chr2.v1.g093470.t1	EH23b.chr2.v1.g091600.t1	C	C	C	C	C	C
EH23a.chr2.v1.g093530.t1	EH23b.chr2.v1.g091620.t1	C	C	C	C	C	C
EH23a.chr2.v1.g093570.t1	EH23b.chr2.v1.g091640.t1	C	C	C	C	C	C
EH23a.chr2.v1.g093580.t1	EH23b.chr2.v1.g091650.t1	C	C	C	C	C	C
EH23a.chr2.v1.g093590.t1	EH23b.chr2.v1.g091660.t1	C	C	C	C	C	C
EH23a.chr2.v1.g093600.t1	EH23b.chr2.v1.g091670.t1	C	C	C	C	C	C
EH23a.chr2.v1.g093610.t1	EH23b.chr2.v1.g091680.t1	A	B	C	B	B	C
EH23a.chr2.v1.g093620.t1	EH23b.chr2.v1.g091690.t1	C	C	C	C	C	C
EH23a.chr2.v1.g093690.t1	EH23b.chr2.v1.g091710.t1	C	C	C	C	C	C
EH23a.chr2.v1.g093700.t1	EH23b.chr2.v1.g091720.t1	C	C	C	C	C	C
EH23a.chr2.v1.g093740.t1	EH23b.chr2.v1.g091750.t1	C	C	C	C	C	C
EH23a.chr2.v1.g093750.t1	EH23b.chr2.v1.g091770.t1	C	C	C	C	C	C
EH23a.chr2.v1.g093760.t1	EH23b.chr2.v1.g091780.t1	C	C	C	C	C	C
EH23a.chr2.v1.g093780.t1	EH23b.chr2.v1.g091790.t1	C	C	C	C	C	C
EH23a.chr2.v1.g093810.t1	EH23b.chr2.v1.g091800.t1	C	C	C	C	C	C
EH23a.chr2.v1.g093830.t1	EH23b.chr2.v1.g091850.t1	C	C	C	C	C	C
EH23a.chr2.v1.g093840.t1	EH23b.chr2.v1.g091860.t1	C	C	C	C	C	C
EH23a.chr2.v1.g093870.t1	EH23b.chr2.v1.g091880.t1	C	C	C	C	C	C
EH23a.chr2.v1.g093880.t1	EH23b.chr2.v1.g091890.t1	C	B	B	B	C	C
EH23a.chr2.v1.g093920.t1	EH23b.chr2.v1.g091920.t1	C	C	C	C	C	C
EH23a.chr2.v1.g093940.t1	EH23b.chr2.v1.g091950.t1	C	B	C	C	C	C
EH23a.chr2.v1.g093950.t1	EH23b.chr2.v1.g091980.t1	C	C	C	C	C	C
EH23a.chr2.v1.g093960.t1	EH23b.chr2.v1.g091990.t1	C	C	C	C	C	C
EH23a.chr2.v1.g093970.t1	EH23b.chr2.v1.g092000.t1	C	C	C	C	C	C
EH23a.chr2.v1.g093980.t1	EH23b.chr2.v1.g092010.t1	C	C	C	C	C	C
EH23a.chr2.v1.g094010.t1	EH23b.chr2.v1.g092020.t1	C	C	C	C	C	C
EH23a.chr2.v1.g094020.t1	EH23b.chr2.v1.g092030.t1	C	C	C	C	C	C
EH23a.chr2.v1.g094030.t1	EH23b.chr2.v1.g092040.t1	C	C	C	C	C	C
EH23a.chr2.v1.g094040.t1	EH23b.chr2.v1.g092050.t1	C	C	C	C	C	C
EH23a.chr2.v1.g094050.t1	EH23b.chr2.v1.g092060.t1	C	C	C	C	C	C
EH23a.chr2.v1.g094080.t1	EH23b.chr2.v1.g092090.t1	C	C	C	C	C	C
EH23a.chr2.v1.g094090.t1	EH23b.chr2.v1.g092110.t1	C	C	C	C	C	C
EH23a.chr2.v1.g094100.t1	EH23b.chr2.v1.g092140.t1	C	C	C	C	C	C
EH23a.chr2.v1.g094200.t1	EH23b.chr2.v1.g092210.t1	C	C	C	C	C	C
EH23a.chr2.v1.g094210.t1	EH23b.chr2.v1.g092320.t1	C	C	C	C	C	C
EH23a.chr2.v1.g094300.t1	EH23b.chr2.v1.g092410.t1	C	C	C	C	C	C
EH23a.chr2.v1.g094330.t1	EH23b.chr2.v1.g092420.t1	C	C	C	A	C	C
EH23a.chr2.v1.g094370.t1	EH23b.chr2.v1.g092440.t1	C	C	C	C	C	C
EH23a.chr2.v1.g094400.t1	EH23b.chr2.v1.g092450.t1	C	C	C	C	C	C
EH23a.chr2.v1.g094420.t1	EH23b.chr2.v1.g092470.t1	C	C	C	C	C	C
EH23a.chr2.v1.g094440.t1	EH23b.chr2.v1.g092480.t1	C	C	C	C	C	C
EH23a.chr2.v1.g094450.t1	EH23b.chr2.v1.g092490.t1	A	A	A	A	A	A
EH23a.chr2.v1.g094460.t1	EH23b.chr2.v1.g092500.t1	C	C	C	C	C	C
EH23a.chr2.v1.g094510.t1	EH23b.chr2.v1.g092550.t1	C	C	C	C	C	C
EH23a.chr2.v1.g094580.t1	EH23b.chr2.v1.g092630.t1	B	C	B	B	C	B
EH23a.chr2.v1.g094630.t1	EH23b.chr2.v1.g092820.t1	C	C	C	C	C	C
EH23a.chr2.v1.g094660.t1	EH23b.chr2.v1.g092850.t1	C	C	C	C	C	C
EH23a.chr2.v1.g094670.t1	EH23b.chr2.v1.g092860.t1	C	C	B	C	C	C
EH23a.chr2.v1.g094680.t1	EH23b.chr2.v1.g092870.t1	C	C	C	C	B	C
EH23a.chr2.v1.g094730.t1	EH23b.chr2.v1.g093030.t1	C	C	C	C	C	C
EH23a.chr2.v1.g094740.t1	EH23b.chr2.v1.g093040.t1	B	B	B	B	B	B
EH23a.chr2.v1.g094750.t1	EH23b.chr2.v1.g093060.t1	C	C	C	C	C	C
EH23a.chr2.v1.g094760.t1	EH23b.chr2.v1.g093070.t1	C	C	C	C	C	C
EH23a.chr2.v1.g094770.t1	EH23b.chr2.v1.g093080.t1	C	C	C	C	C	C
EH23a.chr2.v1.g094780.t1	EH23b.chr2.v1.g093090.t1	C	C	C	C	C	C
EH23a.chr2.v1.g094810.t1	EH23b.chr2.v1.g093160.t1	C	C	C	C	C	C
EH23a.chr2.v1.g094820.t1	EH23b.chr2.v1.g093170.t1	C	C	C	C	C	C
EH23a.chr2.v1.g094830.t1	EH23b.chr2.v1.g093270.t1	C	C	C	C	C	C
EH23a.chr2.v1.g094890.t1	EH23b.chr2.v1.g093220.t1	C	C	C	A	C	C
EH23a.chr2.v1.g094900.t1	EH23b.chr2.v1.g093180.t1	A	A	A	B	C	A
EH23a.chr2.v1.g094990.t1	EH23b.chr2.v1.g093330.t1	B	C	C	C	C	C
EH23a.chr2.v1.g095020.t1	EH23b.chr2.v1.g093370.t1	C	C	C	C	C	C
EH23a.chr2.v1.g095120.t1	EH23b.chr2.v1.g093440.t1	C	C	C	C	C	C
EH23a.chr2.v1.g095130.t1	EH23b.chr2.v1.g093450.t1	C	A	C	C	C	C
EH23a.chr2.v1.g095140.t1	EH23b.chr2.v1.g093460.t1	A	A	C	C	C	A
EH23a.chr2.v1.g095160.t1	EH23b.chr2.v1.g093480.t1	C	A	C	A	C	C
EH23a.chr2.v1.g095170.t1	EH23b.chr2.v1.g093490.t1	C	C	C	C	C	C
EH23a.chr2.v1.g095180.t1	EH23b.chr2.v1.g093500.t1	C	C	C	C	C	C
EH23a.chr2.v1.g095190.t1	EH23b.chr2.v1.g093520.t1	A	A	A	A	A	A
EH23a.chr2.v1.g095200.t1	EH23b.chr2.v1.g093530.t1	C	C	C	C	C	C
EH23a.chr2.v1.g095210.t1	EH23b.chr2.v1.g093540.t1	C	C	C	C	C	C
EH23a.chr2.v1.g095220.t1	EH23b.chr2.v1.g093550.t1	A	A	A	A	A	A
EH23a.chr2.v1.g095240.t1	EH23b.chr2.v1.g093590.t1	C	C	C	C	C	C
EH23a.chr2.v1.g095260.t1	EH23b.chr2.v1.g093670.t1	C	C	C	C	C	C
EH23a.chr2.v1.g095270.t1	EH23b.chr2.v1.g093680.t1	A	A	A	A	A	A
EH23a.chr2.v1.g095280.t1	EH23b.chr2.v1.g093690.t1	C	C	C	C	C	C
EH23a.chr2.v1.g095290.t1	EH23b.chr2.v1.g093710.t1	C	C	C	C	C	C
EH23a.chr2.v1.g095440.t1	EH23b.chr2.v1.g093760.t1	A	A	A	C	C	A
EH23a.chr2.v1.g095450.t1	EH23b.chr2.v1.g093770.t1	C	C	C	C	C	C
EH23a.chr2.v1.g095460.t1	EH23b.chr2.v1.g093780.t1	C	C	C	C	C	C
EH23a.chr2.v1.g095540.t1	EH23b.chr2.v1.g093800.t1	A	A	C	C	C	A
EH23a.chr2.v1.g095870.t1	EH23b.chr2.v1.g093840.t1	A	A	A	A	A	A
EH23a.chr2.v1.g095880.t1	EH23b.chr2.v1.g093850.t1	C	C	C	C	C	C
EH23a.chr2.v1.g095890.t1	EH23b.chr2.v1.g093860.t1	C	C	C	C	C	C
EH23a.chr2.v1.g095900.t1	EH23b.chr2.v1.g093870.t1	C	C	C	C	C	C
EH23a.chr2.v1.g095900.t2	EH23b.chr2.v1.g093870.t2	C	C	C	C	C	C
EH23a.chr2.v1.g095920.t1	EH23b.chr2.v1.g093880.t1	C	C	C	C	C	C
EH23a.chr2.v1.g095930.t1	EH23b.chr2.v1.g093900.t1	C	C	C	C	C	C
EH23a.chr2.v1.g095930.t2	EH23b.chr2.v1.g093900.t2	C	C	C	C	C	C
EH23a.chr2.v1.g095940.t1	EH23b.chr2.v1.g093910.t1	C	C	C	C	C	C
EH23a.chr2.v1.g095950.t1	EH23b.chr2.v1.g093930.t1	C	C	C	C	C	C
EH23a.chr2.v1.g095980.t1	EH23b.chr2.v1.g093970.t1	C	C	C	C	C	C
EH23a.chr2.v1.g096050.t1	EH23b.chr2.v1.g094050.t1	C	C	C	C	C	C
EH23a.chr2.v1.g096070.t1	EH23b.chr2.v1.g094020.t1	C	C	C	C	C	C
EH23a.chr2.v1.g096150.t1	EH23b.chr2.v1.g094130.t1	A	A	A	A	C	A
EH23a.chr2.v1.g096170.t1	EH23b.chr2.v1.g094150.t1	C	C	C	C	C	C
EH23a.chr2.v1.g096180.t1	EH23b.chr2.v1.g094190.t1	C	A	C	C	C	C
EH23a.chr2.v1.g096190.t1	EH23b.chr2.v1.g094200.t1	C	C	C	C	C	C
EH23a.chr2.v1.g096220.t1	EH23b.chr2.v1.g094220.t1	C	C	C	C	C	C
EH23a.chr2.v1.g096230.t1	EH23b.chr2.v1.g094270.t1	A	C	C	C	C	A
EH23a.chr2.v1.g096240.t1	EH23b.chr2.v1.g094280.t1	C	C	C	C	C	C
EH23a.chr2.v1.g096290.t2	EH23b.chr2.v1.g094370.t2	C	C	C	C	C	C
EH23a.chr2.v1.g096310.t1	EH23b.chr2.v1.g094380.t1	C	C	C	C	C	C
EH23a.chr2.v1.g096320.t1	EH23b.chr2.v1.g094390.t1	C	C	C	C	C	C
EH23a.chr2.v1.g096330.t1	EH23b.chr2.v1.g094400.t1	C	C	C	C	C	C
EH23a.chr2.v1.g096340.t1	EH23b.chr2.v1.g094410.t1	C	A	C	A	A	A
EH23a.chr2.v1.g096390.t1	EH23b.chr2.v1.g094460.t1	C	C	C	C	C	C
EH23a.chr2.v1.g096400.t1	EH23b.chr2.v1.g094470.t1	C	C	C	C	C	C
EH23a.chr2.v1.g096410.t1	EH23b.chr2.v1.g094480.t1	A	A	A	A	A	A
EH23a.chr2.v1.g096420.t1	EH23b.chr2.v1.g094490.t1	C	C	C	C	C	C
EH23a.chr2.v1.g096460.t1	EH23b.chr2.v1.g094500.t1	A	A	A	A	C	A
EH23a.chr2.v1.g096470.t1	EH23b.chr2.v1.g094510.t1	C	C	C	C	C	C
EH23a.chr2.v1.g096530.t1	EH23b.chr2.v1.g094560.t1	C	A	A	A	C	A
EH23a.chr2.v1.g096540.t1	EH23b.chr2.v1.g094570.t1	C	C	C	C	C	C
EH23a.chr2.v1.g096550.t1	EH23b.chr2.v1.g094580.t1	A	A	A	A	C	A
EH23a.chr2.v1.g096580.t1	EH23b.chr2.v1.g094640.t1	C	C	C	C	C	C
EH23a.chr2.v1.g096590.t1	EH23b.chr2.v1.g094650.t1	C	C	C	C	C	C
EH23a.chr2.v1.g096600.t1	EH23b.chr2.v1.g094660.t1	A	A	C	C	C	A
EH23a.chr2.v1.g096620.t1	EH23b.chr2.v1.g094680.t1	C	C	C	C	C	C
EH23a.chr2.v1.g096660.t1	EH23b.chr2.v1.g094750.t1	C	C	C	C	C	C
EH23a.chr2.v1.g096660.t2	EH23b.chr2.v1.g094750.t2	C	C	C	C	C	C
EH23a.chr2.v1.g096730.t1	EH23b.chr2.v1.g094770.t1	A	A	A	A	C	A
EH23a.chr2.v1.g096740.t1	EH23b.chr2.v1.g094820.t1	C	C	C	C	C	C
EH23a.chr2.v1.g096860.t1	EH23b.chr2.v1.g094870.t1	C	C	C	C	C	C
EH23a.chr2.v1.g096870.t1	EH23b.chr2.v1.g094880.t1	C	C	C	C	C	C
EH23a.chr2.v1.g096890.t1	EH23b.chr2.v1.g094900.t1	C	C	C	C	C	C
EH23a.chr2.v1.g096910.t1	EH23b.chr2.v1.g095070.t1	C	C	C	C	C	C
EH23a.chr2.v1.g096940.t1	EH23b.chr2.v1.g095120.t1	C	C	C	C	C	C
EH23a.chr2.v1.g097060.t1	EH23b.chr2.v1.g095250.t1	C	C	C	C	C	C
EH23a.chr2.v1.g097350.t1	EH23b.chr2.v1.g095650.t1	C	C	C	C	C	C
EH23a.chr2.v1.g097370.t1	EH23b.chr2.v1.g095710.t1	C	C	C	C	C	A
EH23a.chr2.v1.g097470.t1	EH23b.chr2.v1.g095750.t1	C	C	C	C	C	C
EH23a.chr2.v1.g097480.t1	EH23b.chr2.v1.g095850.t1	C	C	C	C	C	C
EH23a.chr2.v1.g097530.t1	EH23b.chr2.v1.g095830.t1	C	C	C	C	C	C
EH23a.chr2.v1.g097570.t1	EH23b.chr2.v1.g095940.t1	C	C	C	C	C	C
EH23a.chr2.v1.g097600.t1	EH23b.chr2.v1.g095970.t1	C	C	C	C	C	C
EH23a.chr2.v1.g097610.t1	EH23b.chr2.v1.g095980.t1	C	C	C	C	C	C
EH23a.chr2.v1.g097730.t1	EH23b.chr2.v1.g096010.t1	C	C	C	C	C	C
EH23a.chr2.v1.g097740.t1	EH23b.chr2.v1.g096020.t1	C	A	C	C	C	A
EH23a.chr2.v1.g097790.t1	EH23b.chr2.v1.g096030.t1	C	C	C	C	C	C
EH23a.chr2.v1.g097800.t1	EH23b.chr2.v1.g096040.t1	C	C	C	C	C	C
EH23a.chr2.v1.g097840.t1	EH23b.chr2.v1.g096250.t1	C	C	C	C	C	C
EH23a.chr2.v1.g097860.t1	EH23b.chr2.v1.g096320.t1	C	C	C	C	C	C
EH23a.chr2.v1.g097870.t1	EH23b.chr2.v1.g096440.t1	C	C	C	C	C	C
EH23a.chr2.v1.g097920.t1	EH23b.chr2.v1.g096520.t1	C	C	C	C	C	C
EH23a.chr2.v1.g098040.t1	EH23b.chr2.v1.g096570.t1	C	C	C	C	C	C
EH23a.chr2.v1.g098150.t1	EH23b.chr2.v1.g096580.t1	C	C	C	C	C	C
EH23a.chr2.v1.g098160.t3	EH23b.chr2.v1.g096590.t1	C	C	C	A	C	C
EH23a.chr2.v1.g098180.t1	EH23b.chr2.v1.g096600.t1	C	C	C	C	C	C
EH23a.chr2.v1.g098190.t1	EH23b.chr2.v1.g096610.t1	C	C	C	C	C	C
EH23a.chr2.v1.g098200.t1	EH23b.chr2.v1.g096620.t1	C	C	C	C	C	C
EH23a.chr2.v1.g098230.t1	EH23b.chr2.v1.g096660.t1	C	C	C	C	C	C
EH23a.chr2.v1.g098240.t1	EH23b.chr2.v1.g096670.t1	C	C	C	C	C	C
EH23a.chr2.v1.g098250.t1	EH23b.chr2.v1.g096690.t1	C	C	C	C	C	C
EH23a.chr2.v1.g098320.t1	EH23b.chr2.v1.g096780.t1	C	C	C	C	C	C
EH23a.chr2.v1.g098350.t1	EH23b.chr2.v1.g097070.t1	C	C	C	C	C	C
EH23a.chr2.v1.g098370.t1	EH23b.chr2.v1.g097050.t1	C	C	C	C	C	C
EH23a.chr2.v1.g098410.t1	EH23b.chr2.v1.g096950.t1	C	C	C	C	C	C
EH23a.chr2.v1.g098420.t1	EH23b.chr2.v1.g096940.t1	A	A	C	C	C	A
EH23a.chr2.v1.g098440.t1	EH23b.chr2.v1.g096920.t1	C	C	C	C	C	C
EH23a.chr2.v1.g098460.t1	EH23b.chr2.v1.g096900.t1	C	C	C	C	C	C
EH23a.chr2.v1.g098580.t1	EH23b.chr2.v1.g096870.t1	C	C	C	C	C	C
EH23a.chr2.v1.g098590.t1	EH23b.chr2.v1.g096860.t1	C	C	C	C	C	C
EH23a.chr2.v1.g098620.t1	EH23b.chr2.v1.g097090.t1	C	C	C	C	C	C
EH23a.chr2.v1.g098640.t1	EH23b.chr2.v1.g097100.t1	C	C	C	C	C	C
EH23a.chr2.v1.g098680.t1	EH23b.chr2.v1.g097120.t1	C	C	C	C	C	C
EH23a.chr2.v1.g098690.t1	EH23b.chr2.v1.g097130.t1	C	C	C	C	C	C
EH23a.chr2.v1.g098700.t1	EH23b.chr2.v1.g097160.t1	C	C	C	C	C	C
EH23a.chr2.v1.g098750.t1	EH23b.chr2.v1.g097170.t1	C	C	C	C	C	C
EH23a.chr2.v1.g098810.t1	EH23b.chr2.v1.g097210.t1	C	C	C	B	C	C
EH23a.chr2.v1.g099020.t1	EH23b.chr2.v1.g097240.t1	C	C	C	C	C	C
EH23a.chr2.v1.g099160.t1	EH23b.chr2.v1.g097270.t1	C	C	C	C	C	C
EH23a.chr2.v1.g099170.t1	EH23b.chr2.v1.g097280.t1	C	C	C	C	C	C
EH23a.chr2.v1.g099180.t1	EH23b.chr2.v1.g097290.t1	A	A	A	A	C	A
EH23a.chr2.v1.g099210.t1	EH23b.chr2.v1.g097410.t1	C	C	C	C	C	C
EH23a.chr2.v1.g099210.t2	EH23b.chr2.v1.g097410.t2	C	C	C	C	C	C
EH23a.chr2.v1.g099220.t1	EH23b.chr2.v1.g097420.t1	C	C	C	C	C	C
EH23a.chr2.v1.g099410.t1	EH23b.chr2.v1.g097540.t1	C	C	C	C	C	C
EH23a.chr2.v1.g099420.t2	EH23b.chr2.v1.g097550.t2	C	C	C	C	C	C
EH23a.chr2.v1.g099430.t1	EH23b.chr2.v1.g097560.t1	C	C	C	C	C	C
EH23a.chr2.v1.g099480.t1	EH23b.chr2.v1.g097600.t1	C	C	C	C	C	C
EH23a.chr2.v1.g099490.t1	EH23b.chr2.v1.g097610.t1	C	C	C	C	C	C
EH23a.chr2.v1.g099530.t1	EH23b.chr2.v1.g098300.t1	C	C	C	C	C	C
EH23a.chr2.v1.g099530.t2	EH23b.chr2.v1.g098300.t2	C	C	C	C	C	C
EH23a.chr2.v1.g099600.t1	EH23b.chr2.v1.g097800.t1	C	C	C	C	C	C
EH23a.chr2.v1.g099770.t1	EH23b.chr2.v1.g097820.t1	C	C	C	C	C	C
EH23a.chr2.v1.g099830.t1	EH23b.chr2.v1.g097880.t1	C	C	C	C	C	C
EH23a.chr2.v1.g099840.t1	EH23b.chr2.v1.g097890.t1	B	C	C	C	B	C
EH23a.chr2.v1.g099850.t1	EH23b.chr2.v1.g097900.t1	C	C	C	C	C	C
EH23a.chr2.v1.g099980.t1	EH23b.chr2.v1.g097910.t1	C	C	C	C	C	C
EH23a.chr2.v1.g099990.t1	EH23b.chr2.v1.g097930.t1	A	A	A	A	A	B
EH23a.chr2.v1.g100000.t1	EH23b.chr2.v1.g098000.t1	C	C	C	C	C	C
EH23a.chr2.v1.g100020.t1	EH23b.chr2.v1.g098020.t1	C	C	C	C	C	C
EH23a.chr2.v1.g100110.t1	EH23b.chr2.v1.g098030.t1	C	C	C	C	C	C
EH23a.chr2.v1.g100140.t2	EH23b.chr2.v1.g098040.t1	C	C	C	C	C	C
EH23a.chr2.v1.g100150.t1	EH23b.chr2.v1.g098050.t1	C	C	C	C	C	C
EH23a.chr2.v1.g100160.t1	EH23b.chr2.v1.g098060.t1	C	A	C	C	C	A
EH23a.chr2.v1.g100170.t1	EH23b.chr2.v1.g098070.t1	C	C	C	C	C	C
EH23a.chr2.v1.g100220.t1	EH23b.chr2.v1.g098080.t1	C	C	C	C	C	C
EH23a.chr2.v1.g100230.t1	EH23b.chr2.v1.g098090.t1	C	C	C	B	C	C
EH23a.chr2.v1.g100240.t1	EH23b.chr2.v1.g098100.t1	C	C	C	C	C	C
EH23a.chr2.v1.g100270.t1	EH23b.chr2.v1.g098200.t1	C	C	C	C	C	C
EH23a.chr2.v1.g100300.t1	EH23b.chr2.v1.g098210.t1	C	C	C	C	C	C
EH23a.chr2.v1.g100310.t1	EH23b.chr2.v1.g098220.t1	C	C	C	A	C	C
EH23a.chr2.v1.g100320.t1	EH23b.chr2.v1.g098230.t1	C	C	C	C	C	C
EH23a.chr2.v1.g100340.t1	EH23b.chr2.v1.g098250.t1	C	C	C	C	C	C
EH23a.chr2.v1.g100360.t1	EH23b.chr2.v1.g098270.t1	C	C	C	C	C	C
EH23a.chr2.v1.g100380.t1	EH23b.chr2.v1.g098330.t1	C	C	C	C	B	C
EH23a.chr2.v1.g100520.t1	EH23b.chr2.v1.g098410.t1	C	C	C	C	C	C
EH23a.chr2.v1.g100530.t1	EH23b.chr2.v1.g098420.t1	C	C	C	C	C	C
EH23a.chr2.v1.g100650.t1	EH23b.chr2.v1.g098480.t1	C	C	C	C	C	C
EH23a.chr2.v1.g100710.t1	EH23b.chr2.v1.g098490.t1	C	C	C	C	C	C
EH23a.chr2.v1.g100720.t1	EH23b.chr2.v1.g098510.t1	C	C	C	C	C	C
EH23a.chr2.v1.g100740.t1	EH23b.chr2.v1.g098530.t1	C	C	C	C	C	C
EH23a.chr2.v1.g100840.t1	EH23b.chr2.v1.g098580.t1	C	C	C	C	C	C
